"","X","Y","SITE","SUBSITE","PLOT","YEAR","PlotN","SPP","max_heights_cm","SubsitePlotYearXY"
"1",7,1,"QHI","HE",1,1999,"HE1","Salix pulchra",0.3,"HE1199971"
"2",8,1,"QHI","HE",1,1999,"HE1","Salix pulchra",37.4,"HE1199981"
"3",9,1,"QHI","HE",1,1999,"HE1","Salix pulchra",37.9,"HE1199991"
"4",10,1,"QHI","HE",1,1999,"HE1","Salix pulchra",36.4,"HE11999101"
"5",1,7,"QHI","HE",1,1999,"HE1","Salix pulchra",35.8,"HE1199917"
"6",3,7,"QHI","HE",1,1999,"HE1","Salix pulchra",37.4,"HE1199937"
"7",2,8,"QHI","HE",1,1999,"HE1","Salix pulchra",7.5,"HE1199928"
"8",2,10,"QHI","HE",1,1999,"HE1","Salix pulchra",23.8,"HE11999210"
"9",2,7,"QHI","HE",1,1999,"HE1","Salix pulchra",0.3,"HE1199927"
"10",2,1,"QHI","HE",2,1999,"HE2","Salix pulchra",34.5,"HE2199921"
"11",4,1,"QHI","HE",2,1999,"HE2","Salix pulchra",37.4,"HE2199941"
"12",1,2,"QHI","HE",2,1999,"HE2","Salix pulchra",37.4,"HE2199912"
"13",8,4,"QHI","HE",2,1999,"HE2","Salix pulchra",23.8,"HE2199984"
"14",7,5,"QHI","HE",2,1999,"HE2","Salix pulchra",23.8,"HE2199975"
"15",9,5,"QHI","HE",2,1999,"HE2","Salix pulchra",30.2,"HE2199995"
"16",1,7,"QHI","HE",2,1999,"HE2","Salix pulchra",34,"HE2199917"
"17",2,7,"QHI","HE",2,1999,"HE2","Salix pulchra",36.9,"HE2199927"
"18",6,7,"QHI","HE",2,1999,"HE2","Salix pulchra",30.7,"HE2199967"
"19",7,8,"QHI","HE",2,1999,"HE2","Salix pulchra",7.5,"HE2199978"
"20",2,9,"QHI","HE",2,1999,"HE2","Salix pulchra",38.9,"HE2199929"
"21",3,9,"QHI","HE",2,1999,"HE2","Salix pulchra",12.6,"HE2199939"
"22",4,9,"QHI","HE",2,1999,"HE2","Salix pulchra",34.5,"HE2199949"
"23",5,9,"QHI","HE",2,1999,"HE2","Salix pulchra",34.5,"HE2199959"
"24",6,9,"QHI","HE",2,1999,"HE2","Salix pulchra",13.1,"HE2199969"
"25",9,9,"QHI","HE",2,1999,"HE2","Salix pulchra",35.8,"HE2199999"
"26",5,1,"QHI","HE",2,1999,"HE2","Salix pulchra",0.3,"HE2199951"
"27",8,1,"QHI","HE",2,1999,"HE2","Salix pulchra",0.3,"HE2199981"
"28",4,2,"QHI","HE",2,1999,"HE2","Salix pulchra",0.3,"HE2199942"
"29",9,2,"QHI","HE",2,1999,"HE2","Salix pulchra",0.3,"HE2199992"
"30",10,2,"QHI","HE",2,1999,"HE2","Salix pulchra",25.2,"HE21999102"
"31",1,1,"QHI","HE",3,1999,"HE3","Salix pulchra",34.5,"HE3199911"
"32",2,1,"QHI","HE",3,1999,"HE3","Salix pulchra",38.9,"HE3199921"
"33",4,1,"QHI","HE",3,1999,"HE3","Salix pulchra",2.5,"HE3199941"
"34",1,2,"QHI","HE",3,1999,"HE3","Salix pulchra",37.4,"HE3199912"
"35",2,2,"QHI","HE",3,1999,"HE3","Salix pulchra",13.6,"HE3199922"
"36",1,3,"QHI","HE",3,1999,"HE3","Salix pulchra",23.8,"HE3199913"
"37",1,6,"QHI","HE",3,1999,"HE3","Salix pulchra",35.3,"HE3199916"
"38",2,8,"QHI","HE",3,1999,"HE3","Salix pulchra",23.3,"HE3199928"
"39",9,9,"QHI","HE",3,1999,"HE3","Salix pulchra",12.6,"HE3199999"
"40",10,9,"QHI","HE",3,1999,"HE3","Salix pulchra",30.7,"HE31999109"
"41",1,10,"QHI","HE",3,1999,"HE3","Salix pulchra",35.8,"HE31999110"
"42",3,10,"QHI","HE",3,1999,"HE3","Salix pulchra",37.4,"HE31999310"
"43",1,1,"QHI","HE",4,1999,"HE4","Salix pulchra",35.8,"HE4199911"
"44",2,1,"QHI","HE",4,1999,"HE4","Salix pulchra",35.8,"HE4199921"
"45",5,1,"QHI","HE",4,1999,"HE4","Salix pulchra",30.7,"HE4199951"
"46",6,1,"QHI","HE",4,1999,"HE4","Salix pulchra",36.4,"HE4199961"
"47",7,1,"QHI","HE",4,1999,"HE4","Salix pulchra",34.5,"HE4199971"
"48",3,2,"QHI","HE",4,1999,"HE4","Salix pulchra",13.1,"HE4199932"
"49",4,2,"QHI","HE",4,1999,"HE4","Salix pulchra",14.6,"HE4199942"
"50",5,2,"QHI","HE",4,1999,"HE4","Salix pulchra",6.5,"HE4199952"
"51",10,2,"QHI","HE",4,1999,"HE4","Salix pulchra",2,"HE41999102"
"52",2,3,"QHI","HE",4,1999,"HE4","Salix pulchra",36.4,"HE4199923"
"53",1,4,"QHI","HE",4,1999,"HE4","Salix pulchra",36.4,"HE4199914"
