"Appendix for Berner et al., Biomass allometry for alder, dwarf birch, and willow in boreal and tundra ecosystems of far northeastern Siberia and north-central Alaska",,,,,,,,,,,,
,,,,,,,,,,,,
Description,,,,,,,,,,,,
Physical characteristics of 358 shrubs sampled mid to late summer in 2011-2013 from 33 sites spread between northern Alaska and far northeastern Siberia (Yakutia).,,,,,,,,,,,,
"We sampled a variety of species including Alaskan green alder (A. viridis subsp. crispa), Siberian alder (A. fruticosa), dwarf birch (Betula  nana subsp. exilis and B. nana subsp. divaricata) and a variety of willow (e.g., S. alaxensis, S. glauca, and S. pulchra, and others).",,,,,,,,,,,,
"Measurements include shrub basal diameter (BD), height (H), and stem length (L), as well as stem, branch, new growth (NG; new twigs and leaves), and total aboveground biomass (AGB).",,,,,,,,,,,,
Please contact the noted data contributor for more information or if you wish to use these data in further analyses or publications.  ,,,,,,,,,,,,
,,,,,,,,,,,,
Source,Genus,Species,Region,Ecosystem,Site,BD (cm),Height (cm),Stem length (cm),Stem (g),Branch (g),NewGrowth (g),AGB (g)
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,2,145,145,49.22,10.30,13.27,72.79
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,3,200,200,183.01,46.01,58.88,287.90
H.A.,Alnus,crispus,Alaska,Boreal,WS RIP BURN1,0.6,51,51,2.27,0.44,1.20,3.91
H.A.,Alnus,crispus,Alaska,Boreal,WS HIGH ELEV BURN1,2.6,380,320,354.51,83.15,55.35,493.01
H.A.,Alnus,crispus,Alaska,Boreal,MMII UNB,4,180,450,1299.15,168.50,103.46,1571.11
H.A.,Alnus,crispus,Alaska,Boreal,HWII UB,5.3,170,413,1906.28,463.04,140.44,2510.27
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,3.3,160,1.95,87.33,89.08,51.99,231.86
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,2.44,185,185,130.76,104.57,55.84,293.20
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,0.33,28,37,0.66,0.00,1.28,1.94
H.A.,Alnus,crispus,Alaska,Boreal,ELLIOT/APPLEGATE,1.2,160,165,29.36,5.17,8.29,42.82
H.A.,Alnus,crispus,Alaska,Boreal,CR10N,0.98,75,80,23.34,2.46,6.31,32.11
H.A.,Alnus,crispus,Alaska,Boreal,CR10N,0.79,90,91,16.77,3.22,7.61,27.60
H.A.,Alnus,crispus,Alaska,Boreal,CR10PP,0.65,70,74,0.00,0.00,6.45,6.45
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1,29,31,1.47,0.00,6.10,7.57
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,0.49,43,45.5,0.58,0.00,2.87,3.45
H.A.,Alnus,crispus,Alaska,Boreal,CR10S,1.94,160,152,49.70,56.30,75.73,182.16
