"","Plot","Shrub_Height_cm","max_biomass","max_cover","Species","biomass_per_m2"
"1","2a",62.5,927.23,76.8679161443929,"Salix pulchra",3708.92
"2","2a",62.5,927.23,76.8679161443929,"Salix pulchra",3708.92
"3","2a",62.5,927.23,76.8679161443929,"Salix pulchra",3708.92
"4","2a",62.5,927.23,76.8679161443929,"Salix pulchra",3708.92
"5","5b",60,239.34,35.8567169545611,"Salix pulchra & richardsonii",957.36
"6","6a",75,259.8,57.1433598887926,"Salix pulchra",1039.2
"7","6a",75,259.8,57.1433598887926,"Salix pulchra",1039.2
"8","6a",75,259.8,57.1433598887926,"Salix pulchra",1039.2
"9","6a",75,259.8,57.1433598887926,"Salix pulchra",1039.2
"10","2b",31,97.669,20.2159676110679,"Salix pulchra",390.676
"11","2b",31,97.669,20.2159676110679,"Salix pulchra",390.676
"12","2b",31,97.669,20.2159676110679,"Salix pulchra",390.676
"13","2b",31,97.669,20.2159676110679,"Salix pulchra",390.676
"14","3b",50.5,67.83,14.9315499710526,"Salix pulchra & richardsonii",271.32
"15","3b",50.5,67.83,14.9315499710526,"Salix pulchra & richardsonii",271.32
"16","3b",50.5,67.83,14.9315499710526,"Salix pulchra & richardsonii",271.32
"17","3b",50.5,67.83,14.9315499710526,"Salix pulchra & richardsonii",271.32
"18","5a",55.5,127.23,27.3449421636097,"Salix pulchra",508.92
"19","6b",56.5,168.06,36.1061399343876,"Salix pulchra & richardsonii",672.24
"20","00",0,0,0,"Salix pulchra",0
