"","Plot","Site","Species","height","biomass_per_m2"
"1","2a","Pika camp","Salix pulchra",62.5,3708.92
"2","2a","Pika camp","Salix pulchra",62.5,3708.92
"3","2a","Pika camp","Salix pulchra",62.5,3708.92
"4","2a","Pika camp","Salix pulchra",62.5,3708.92
"5","5b","Pika camp","Salix pulchra",60,957.36
"6","6a","Pika camp","Salix pulchra",75,1039.2
"7","6a","Pika camp","Salix pulchra",75,1039.2
"8","6a","Pika camp","Salix pulchra",75,1039.2
"9","6a","Pika camp","Salix pulchra",75,1039.2
"10","2b","Pika camp","Salix pulchra",31,390.676
"11","2b","Pika camp","Salix pulchra",31,390.676
"12","2b","Pika camp","Salix pulchra",31,390.676
"13","2b","Pika camp","Salix pulchra",31,390.676
"14","3b","Pika camp","Salix pulchra",50.5,271.32
"15","3b","Pika camp","Salix pulchra",50.5,271.32
"16","3b","Pika camp","Salix pulchra",50.5,271.32
"17","3b","Pika camp","Salix pulchra",50.5,271.32
"18","5a","Pika camp","Salix pulchra",55.5,508.92
"19","6b","Pika camp","Salix pulchra",56.5,672.24
"20","00","Pika camp","Salix pulchra",0,0
"21","P02","QHI","Salix arctica",9.2,195.08
"22","P04","QHI","Salix arctica",6.9,91.36
"23","P05","QHI","Salix arctica",6.7,98.04
"24","P06","QHI","Salix arctica",6.4,150.96
"25","P00","QHI","Salix arctica",0,0
"26","P01","QHI","Salix richardsonii",19.6,218.4
"27","P03","QHI","Salix richardsonii",13.4,121.96
"28","P07","QHI","Salix richardsonii",33.8,335.24
"29","P08","QHI","Salix richardsonii",25.8,287.32
"30","P09","QHI","Salix richardsonii",26.5,439.68
"31","P10","QHI","Salix richardsonii",37.2,622.12
"32","P11","QHI","Salix richardsonii",55.4,692.2
"33","P12","QHI","Salix richardsonii",45.6,675.88
"34","P13","QHI","Salix richardsonii",63.3,1778.72
"35","P14","QHI","Salix richardsonii",77.2,1364.16
"36","P15","QHI","Salix richardsonii",75,1409.52
"37","P16","QHI","Salix richardsonii",81,2427.24
"38","P17","QHI","Salix richardsonii",85.3,2342.6
"39","P18","QHI","Salix richardsonii",76.6,2330.64
"40","P19","QHI","Salix richardsonii",35.5,114
"41","P20","QHI","Salix richardsonii",31.4,180.96
"42","P21","QHI","Salix richardsonii",13.5,104.12
"43","P22","QHI","Salix richardsonii",71,1415.44
"44","P23","QHI","Salix richardsonii",52.3,997.44
"45","P24","QHI","Salix richardsonii",57.4,733.64
"46","P25","QHI","Salix richardsonii",50,621.48
"47","P26","QHI","Salix richardsonii",46.2,846.08
"48","P27","QHI","Salix richardsonii",37.5,698.4
"49","P28","QHI","Salix richardsonii",76.2,1510.88
"50","P29","QHI","Salix richardsonii",61.6,1878.44
"51","P30","QHI","Salix richardsonii",58.8,2193.8
"52","P31","QHI","Salix richardsonii",44.6,585.68
"53","P32","QHI","Salix richardsonii",35.2,335.44
"54","P33","QHI","Salix richardsonii",50.9,200.2
"55","P35","QHI","Salix richardsonii",42.1,1167.76
"56","P36","QHI","Salix richardsonii",31.1,1174.44
"57","P00","QHI","Salix richardsonii",0,0
