"","...1","X.2","X.1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","...31","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"1",2781,2781,2114,2114,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",4,8.4,9.6,4,23,22,24,8,7,4,"K15PSA10",322.56,6,6.33333333333333,23,9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008064,0.8064,20.25088,64.95088,-24.44912
"2",2782,2782,2115,2115,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",4.8,22.7,15.8,12,47,41,37,7,33,20,"K15PSA11",1721.568,6,20,41.6666666666667,19.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035866,3.5866,61.48972,106.18972,16.78972
"3",2783,2783,2116,2116,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",7.1,24.8,20.1,12,32,37,34,8,4,14,"K15PSA12",3539.208,6,8.66666666666667,34.3333333333333,22.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049848,4.9848,86.40416,131.10416,41.70416
"4",2784,2784,2117,2117,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",5.3,16.3,12.9,12,31,29,41,12,12,5,"K15PSA15",1114.431,6,9.66666666666667,33.6666666666667,14.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021027,2.1027,41.51834,86.21834,-3.18166
"5",2785,2785,2118,2118,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",5.5,10.7,12.3,12,26,28,32,11,12,4,"K15PSA2",723.855,6,9,28.6666666666667,11.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013161,1.3161,30.78862,75.48862,-13.91138
"6",2786,2786,2119,2119,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",6,24.1,20.6,16,34,36,29,30,7,17,"K15PSA6",2978.76,6,18,33,22.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049646,4.9646,83.69732,128.39732,38.99732
"7",2787,2787,2120,2120,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",5.5,46.2,34.1,25,42,47,48,35,38,25,"K15PSA7",8664.81,6,32.6666666666667,45.6666666666667,40.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157542,15.7542,235.80964,280.50964,191.10964
"8",2788,2788,2121,2121,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",4.5,20.1,19.6,9,34,33,29,13,9,11,"K15PSA8",1772.82,6,11,32,19.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039396,3.9396,65.84232,110.54232,21.14232
"9",2789,2789,2122,2122,"JB",2015,"Salix arctica","Common_garden",NA,8,11,"2021",6.9,25.2,22.1,12,42,43,49,24,10,8,"K15PSA9",3842.748,6,14,44.6666666666667,23.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055692,5.5692,94.26264,138.96264,49.56264
"10",2791,2791,2124,2124,"JA",2017,"Salix arctica","Common_garden",NA,8,11,"2021",2.5,7.5,5.5,4,22,19,18,5,3,2,"K17SA5",103.125,4,3.33333333333333,19.6666666666667,6.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004125,0.4125,11.3575,56.0575,-33.3425
"11",2830,2830,2163,2163,"SAB",2016,"Salix arctica","Common_garden",NA,8,11,"2021",5.1,7,6.8,5,24,26,20,6,4,6,"KP16SA6",242.76,5,5.33333333333333,23.3333333333333,6.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476,0.476,17.9792,62.6792,-26.7208
