"","...1","X.2","X.1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","...31","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"1",2369,2369,2627,2627,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",31.8,59.8,40.5,20,33,30,36,24,26,27,"KLSPC1",77016.42,7,25.6666666666667,33,50.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24219,24.219,473.3439,486.5439,460.1439
"2",2372,2372,2630,2630,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",12.4,16.7,3.5,4,21,25,18,17,15,4,"KLSPC2",724.78,7,12,21.3333333333333,10.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005845,0.5845,24.21945,37.41945,11.01945
"3",2373,2373,2631,2631,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",24.2,38.3,32.8,17,34,32,43,39,28,42,"KLSPC3",30401.008,7,36.3333333333333,36.3333333333333,35.55,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125624,12.5624,253.99944,267.19944,240.79944
"4",2374,2374,2632,2632,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",10.2,39.4,8.6,18,22.2,26,23.5,10.3,9.1,6.5,"KLSPC8",3456.168,7,8.63333333333333,23.9,24,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033884,3.3884,72.55004,85.75004,59.35004
"5",2375,2375,2633,2633,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",39.2,83.2,59.6,16,28,27,26,28,22,11,"KLSPC9",194381.824,7,20.3333333333333,27,71.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495872,49.5872,940.64832,953.84832,927.44832
"6",2376,2376,2634,2634,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",73.8,106.8,58.2,22,32,34,36,24,25,22,"KLSPE1",458723.088,7,23.6666666666667,34,82.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621576,62.1576,1206.23256,1219.43256,1193.03256
"7",2377,2377,2635,2635,"CF",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",29.6,32.1,22.3,22,37,33,33,29,25,38,"KLSPE10",21188.568,7,30.6666666666667,34.3333333333333,27.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071583,7.1583,162.12523,175.32523,148.92523
"8",2378,2378,2636,2636,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",36.1,118.2,75.3,21,33,31,35,22,19,24,"KLSPE11",321306.606,7,21.6666666666667,33,96.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890046,89.0046,1650.69326,1663.89326,1637.49326
"9",2379,2379,2637,2637,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",33.1,121.2,46.4,3.1,36,30,32,30,56,24,"KLSPE12",186143.808,7,36.6666666666667,32.6666666666667,83.8,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562368,56.2368,1054.29608,1067.49608,1041.09608
"10",2380,2380,2638,2638,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",43.9,103.1,79.8,2.1,48,39,41,31,26,21,"KLSPE14",361181.982,7,26,42.6666666666667,91.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822738,82.2738,1537.44578,1550.64578,1524.24578
"11",2381,2381,2639,2639,"MG",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",17.8,57.3,49.2,14,31,34,26,9,10,12,"KLSPE15",50181.048,7,10.3333333333333,30.3333333333333,53.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281916,28.1916,529.84796,543.04796,516.64796
"12",2383,2383,2641,2641,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",8.5,9.1,7.5,5,24,25,24,12,11,8,"KLSPE3",580.125,7,10.3333333333333,24.3333333333333,8.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006825,0.6825,21.70325,34.90325,8.50325
"13",2384,2384,2642,2642,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",43.2,84.1,79.2,19,41,35,37,46,74,22,"KLSPE4",287743.104,7,47.3333333333333,37.6666666666667,81.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666072,66.6072,1253.11032,1266.31032,1239.91032
"14",2385,2385,2643,2643,"IMS",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",17.9,48.2,34.5,15,32,36,33,42,34,14,"KLSPE5",29765.91,7,30,33.6666666666667,41.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16629,16.629,320.6749,333.8749,307.4749
"15",2387,2387,2645,2645,"CF",2013,"Salix pulchra","Common_garden",NA,8,19,"2020",29.6,19.7,18.2,22,52,51,52,78,37,35,"KLSPE7",10612.784,7,50,51.6666666666667,18.95,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035854,3.5854,97.45574,110.65574,84.25574
"16",2430,2430,2688,2688,"SL",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",21.8,32.6,29.8,5,28,31,33,81,52,88,"KP16SP22",21178.264,4,73.6666666666667,30.6666666666667,31.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097148,9.7148,199.81788,213.01788,186.61788
"17",2432,2432,2690,2690,"SL",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",26.1,37.2,17,14,42,31,33,46,56,45,"KP16SP24",16505.64,4,49,35.3333333333333,27.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06324,6.324,143.1744,156.3744,129.9744
"18",2441,2441,2699,2699,"AB",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",33.2,63.5,47.4,26.12,37.42,35.99,39.75,47.16,100.35,80.3,"KP16SP33",99928.68,4,75.9366666666667,37.72,55.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30099,30.099,581.3119,594.5119,568.1119
"19",2442,2442,2700,2700,"AB",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",12.5,15,1,13.44,15.18,16.2,10.83,19.04,NA,NA,"KP16SP34",187.5,4,NA,14.07,8,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.15,16.465,29.665,3.265
"20",2448,2448,2706,2706,"IMS",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",11.3,7.6,8.2,8,28,30,30,18,17,14,"KP16SP41",704.216,4,16.3333333333333,29.3333333333333,7.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006232,0.6232,23.70992,36.90992,10.50992
"21",2450,2450,2708,2708,"CF",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",19.2,24.2,10.9,28,31,31,30,24,31,32,"KP16SP43",5064.576,4,29,30.6666666666667,17.55,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026378,2.6378,68.86418,82.06418,55.66418
"22",2453,2453,2711,2711,"CF",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",27.2,22.4,13.1,12,38,38,41,52,55,52,"KP16SP46",7981.568,4,53,39,17.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029344,2.9344,83.03264,96.23264,69.83264
"23",2457,2457,2715,2715,"CF",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",24.9,15.8,12,9,28,32,27,52,21,40,"KP16SP51",4721.04,4,37.6666666666667,29,13.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01896,1.896,61.7076,74.9076,48.5076
"24",2458,2458,2716,2716,"CF",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",11.2,30.5,18.1,11,36,43,36,25,17,24,"KP16SP52",6182.96,4,22,38.3333333333333,24.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055205,5.5205,112.24105,125.44105,99.04105
"25",2461,2461,2719,2719,"CF",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",26.9,88,10.2,8,26,24,24,15,14,15,"KP16SP55",24145.44,4,14.6666666666667,24.6666666666667,49.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08976,8.976,192.0556,205.2556,178.8556
"26",2462,2462,2720,2720,"JG",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",20.2,25.3,31.4,12,37,37,41,98,92,94,"KP16SP56",16047.284,4,94.6666666666667,38.3333333333333,28.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079442,7.9442,166.01002,179.21002,152.81002
"27",2465,2465,2723,2723,"JG",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",18.9,44.3,28.2,15,32,35,45,30,45,42,"KP16SP59",23611.014,4,39,37.3333333333333,36.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124926,12.4926,246.90606,260.10606,233.70606
"28",2466,2466,2724,2724,"JG",2016,"Salix pulchra","Common_garden",NA,8,19,"2020",24.3,21,22.3,22,22,31,31,15,22,42,"KP16SP60",11379.69,4,26.3333333333333,28,21.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04683,4.683,111.4923,124.6923,98.2923
