"","...1","X.2","X.1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","...31","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"1",2353,2353,2611,2611,"SW",2015,"Salix richardsonii","Common_garden",NA,8,19,"2020",16.8,24.8,9.4,24,52,49,50,42,32,41,"K15SSR8",3916.416,5,38.3333333333333,50.3333333333333,17.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023312,2.3312,330.14128,353.24128,307.04128
"2",2365,2365,2623,2623,"LB",2017,"Salix richardsonii","Common_garden",NA,8,19,"2020",20.1,26.4,13,12,64,61,48,109,51,38,"K17SR6",6898.32,3,66,57.6666666666667,19.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03432,3.432,402.6408,425.7408,379.5408
"3",2399,2399,2657,2657,"IR",2013,"Salix richardsonii","Common_garden",NA,8,19,"2020",55.2,81.1,88.8,29,50,49,53,43,45,47,"KLSRE14",397532.736,7,45,50.6666666666667,84.95,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720168,72.0168,1850.59992,1873.69992,1827.49992
"4",2402,2402,2660,2660,"SW",2013,"Salix richardsonii","Common_garden",NA,8,19,"2020",83.4,91.8,74.2,38,56,36,48,72,103,98,"KLSRE6",568084.104,7,91,46.6666666666667,83,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681156,68.1156,2311.77564,2334.87564,2288.67564
"5",2403,2403,2661,2661,"SW",2013,"Salix richardsonii","Common_garden",NA,8,19,"2020",67.9,81.2,86.8,38,51,48,38,82,88,129,"KLSRE7",478570.064,7,99.6666666666667,45.6666666666667,84,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704816,70.4816,2060.93104,2084.03104,2037.83104
"6",2404,2404,2662,2662,"SW",2013,"Salix richardsonii","Common_garden",NA,8,19,"2020",83.8,91.6,100.1,56,52,46,64,102,88,106,"KLSRE9",768375.608,7,98.6666666666667,54,95.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916916,91.6916,2599.53004,2622.63004,2576.43004
"7",2484,2484,2742,2742,"IR",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",30.4,16.4,12.2,22,31,38,33,62,45,68,"KP16SR26",6082.432,4,58.3333333333333,34,14.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020008,2.0008,571.00952,594.10952,547.90952
"8",2485,2485,2743,2743,"IR",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",30.8,22.2,14,22,50,48,51,6.4,8.5,6.3,"KP16SR27",9572.64,4,7.06666666666667,49.6666666666667,18.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03108,3.108,591.3852,614.4852,568.2852
"9",2494,2494,2752,2752,"GD",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",22.8,17.8,15.2,17,39,44,44,82,81,64,"KP16SR36",6168.768,4,75.6666666666667,42.3333333333333,16.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027056,2.7056,442.59664,465.69664,419.49664
"10",2495,2495,2753,2753,"GD",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",58.9,44.7,22.4,25,50,44,56,155,118,148,"KP16SR37",58975.392,4,140.333333333333,50,33.55,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100128,10.0128,1179.35232,1202.45232,1156.25232
"11",2499,2499,2757,2757,"LB",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",25.7,23,14.4,12,35,35,33,71,71,70,"KP16SR41",8511.84,4,70.6666666666667,34.3333333333333,18.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03312,3.312,502.0128,525.1128,478.9128
"12",2504,2504,2762,2762,"GD",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",17.5,22,18.3,11,37,36,42,91,78,72,"KP16SR51",7045.5,4,80.3333333333333,38.3333333333333,20.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04026,4.026,362.9094,386.0094,339.8094
"13",2505,2505,2763,2763,"GD",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",40.4,41.6,23.2,15,47,51,46,82,137,118,"KP16SR52",38990.848,4,112.333333333333,48,32.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096512,9.6512,842.04928,865.14928,818.94928
"14",2506,2506,2764,2764,"GD",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",13.1,18.4,15.4,7,33,30,30,57,42,73,"KP16SR53",3712.016,4,57.3333333333333,31,16.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028336,2.8336,269.51984,292.61984,246.41984
"15",2510,2510,2768,2768,"EW",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",48.4,43.4,27.9,18,44,42,43,142,154,163,"KP16SR57",58605.624,4,153,43,35.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121086,12.1086,1015.29234,1038.39234,992.19234
"16",2511,2511,2769,2769,"EW",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",16.8,23.2,14.1,17,45,44,38,58,82,94,"KP16SR58",5495.616,4,78,42.3333333333333,18.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032712,3.2712,341.32728,364.42728,318.22728
"17",2513,2513,2771,2771,"EW",2016,"Salix richardsonii","Common_garden",NA,8,19,"2020",28.9,21.5,14.4,15,41,44,40,51,66,74,"KP16SR60",8947.44,4,63.6666666666667,41.6666666666667,17.95,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03096,3.096,557.0424,580.1424,533.9424
"18",2540,2540,2798,2798,"LB",2017,"Salix richardsonii","Common_garden",NA,8,19,"2020",16.4,24.8,18.8,18,42,42,40,64,75,78,"KP17SR1",7646.336,3,72.3333333333333,41.3333333333333,21.8,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046624,4.6624,350.68256,373.78256,327.58256
"19",2541,2541,2799,2799,"LB",2017,"Salix richardsonii","Common_garden",NA,8,19,"2020",21.7,24.2,11.2,12,41,38,40,81,66,56,"KP17SR2",5881.568,3,67.6666666666667,39.6666666666667,17.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027104,2.7104,422.85376,445.95376,399.75376
"20",2542,2542,2800,2800,"LB",2017,"Salix richardsonii","Common_garden",NA,8,19,"2020",22.5,32.2,24.2,13,40,38,41,55,36,62,"KP17SR3",17532.9,3,51,39.6666666666667,28.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077924,7.7924,497.72956,520.82956,474.62956
"21",2543,2543,2801,2801,"LB",2017,"Salix richardsonii","Common_garden",NA,8,19,"2020",25.3,20.3,12.4,12,34,31,35,45,38,60,"KP17SR4",6368.516,3,47.6666666666667,33.3333333333333,16.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025172,2.5172,485.35468,508.45468,462.25468
"22",2563,2563,2821,2821,"CF",2013,"Salix richardsonii","Common_garden",NA,8,19,"2020",52.9,79.2,67.8,29,46,51,47,106,131,94,"KPSR5",284060.304,7,110.333333333333,48,73.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536976,53.6976,1591.20144,1614.30144,1568.10144
