"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"1","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1","2",NA,14.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12","2",NA,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17","2",NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2","2",NA,10.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20","2",NA,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23","2",NA,19.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30","2",NA,13.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4","2",NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,20,14,NA,NA,NA,"HESR13","2",NA,15.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,6,3,6,NA,NA,NA,"HESR16","2",NA,5,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,16,16,NA,NA,NA,"HESR17","2",NA,17.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,9,11,NA,NA,NA,"HESR2","2",NA,10,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,8,5,NA,NA,NA,"HESR20","2",NA,8,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,14,15,NA,NA,NA,"HESR21","2",NA,15.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,18,19,NA,NA,NA,"HESR23","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,5,4,NA,NA,NA,"HESR24","2",NA,7.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,19,14,NA,NA,NA,"HESR26","2",NA,16,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,10,13,NA,NA,NA,"HESR27","2",NA,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
