"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"1","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,32.5,123,35,65,15,23,34,35,25,15,NA,24,25,79
"2","IMS","KLSpE3",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,11.5,9.9,7,10,15,7,10,34,15,28,NA,10.6666666666667,25.6666666666667,8.45
"3","IMS","KLSpE4",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,45.1,75,62,52,20,15,25,24,34,28,NA,20,28.6666666666667,68.5
"4","LB","KP16Sr41",2016,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,28.3,30.5,20.6,11,56,39,15,38,34,28,NA,36.6666666666667,33.3333333333333,25.55
"5","LB","KLSrE4",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,112,221.4,203,124,85,70,160,45,40,38,NA,105,41,212.2
"6","LB","KP17Sr2",2017,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,28.6,30.5,26,16,18,45,15,46,35,33,NA,26,38,28.25
"7","LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7,16.4,7.2,11,19,12,9,19,24,18,NA,13.3333333333333,20.3333333333333,11.8
"8","SL","PC17Sp1",2017,"Salix pulchra","Kluane",2022-07-03,7,3,2022,17.5,36.5,33,10,95,280,230,46,55,42,NA,201.666666666667,47.6666666666667,34.75
"9","SL","KP17Sp5",2017,"Salix pulchra","Kluane",2022-07-03,7,3,2022,35,51,31,12,18,37,18,44,32,54,NA,24.3333333333333,43.3333333333333,41
"10","SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,9.6,7.4,7.8,7,NA,NA,NA,15,13,16,"No si",NA,14.6666666666667,7.6
"11","GD","KP16Sr37",2016,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,85.9,69.5,68.3,30,115,130,30,40,34,31,NA,91.6666666666667,35,68.9
"12","GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,21,31,33.4,14,25,37,24,17,22,35,NA,28.6666666666667,24.6666666666667,32.2
"13","GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,6,13,12.7,8,8,10,22,21,15,20,NA,13.3333333333333,18.6666666666667,12.85
"14","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7.5,14.8,12.5,10,6,9,16,22,21,15,NA,10.3333333333333,19.3333333333333,13.65
"15","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7.5,8.4,8.3,12,8,NA,NA,22,19,19,"1 si",NA,20,8.35
"16","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,15.2,21.5,21,14,55,16,75,23,26,21,NA,48.6666666666667,23.3333333333333,21.25
"17","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,82.5,118.5,83,52,34,30,37,46,38,44,NA,33.6666666666667,42.6666666666667,100.75
"18","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,15.5,24.4,23,11,NA,NA,NA,NA,NA,NA,"No si leaves too crunchy to measure",NA,NA,23.7
"19","CF","KLSpE8",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,24.5,119,22.2,67,27,14,51,36,50,32,NA,30.6666666666667,39.3333333333333,70.6
"20","CF","H17SP9",2017,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,18.5,18,16,9,10,27,30,26,20,31,NA,22.3333333333333,25.6666666666667,17
"21","JA","K17Sa5",2017,"Salix arctica","Kluane",2022-07-03,7,3,2022,4.1,7,8,7,6,7,5,22,25,18,NA,6,21.6666666666667,7.5
"22","JA","KP17Sa4",2017,"Salix arctica","Kluane",2022-07-03,7,3,2022,3,8.2,7.1,9,9,17,9,24,25,23,NA,11.6666666666667,24,7.65
"23","JA","PC16CESa2",2016,"Salix arctica","Kluane",2022-07-03,7,3,2022,11.5,36,31.6,13,39,44,62,67,80,45,NA,48.3333333333333,64,33.8
"24","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,10,27.5,24.5,9,41,30,40,32,21,22,NA,37,25,26
"25","JA","PC17Sa7",2017,"Salix arctica","Kluane",2022-07-03,7,3,2022,8.2,26,23.9,9,32,22,12,44,43,32,NA,22,39.6666666666667,24.95
"26","JA","KP18Sa4",2018,"Salix arctica","Kluane",2022-07-03,7,3,2022,4.5,12.6,10.2,9,16,24,12,45,23,31,NA,17.3333333333333,33,11.4
"27","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,7,13.3,12.8,9,12,14,31,23,25,22,NA,19,23.3333333333333,13.05
"28","JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,4,3.5,3.2,5,9,7,NA,14,13,10,NA,NA,12.3333333333333,3.35
"29","JG","KP18Sp4",2018,"Salix pulchra","Kluane",2022-07-03,7,3,2022,16,33,21,9,42,26,77,45,31,38,NA,48.3333333333333,38,27
"30","JG","KP18Sp2",2018,"Salix pulchra","Kluane",2022-07-03,7,3,2022,47,48,45,14,82,240,290,57,56,46,NA,204,53,46.5
"31","JG","KP18Sp1",2018,"Salix pulchra","Kluane",2022-07-03,7,3,2022,28.5,44.3,41,12,136,93,33,32,40,37,NA,87.3333333333333,36.3333333333333,42.65
"32","JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,12.5,8.3,5.5,11,16,24,12,27,24,15,NA,17.3333333333333,22,6.9
"33","MG","KLSpE11",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead?",NA,NA,NA
"34","MG","KLSpE12",2013,"Salix pulchra","Kluane",2022-07-03,7,3,2022,42,92.5,32,13,27,33,34,32,36,29,NA,31.3333333333333,32.3333333333333,62.25
"35","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,6.5,9,7.2,8,12,27,13,19,16,10,NA,17.3333333333333,15,8.1
"36","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,116.8,170,131,105,81,37,83,40,43,39,NA,67,40.6666666666667,150.5
"37","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,36,96,66.2,30,16,112,32,44,24,37,NA,53.3333333333333,35,81.1
"38","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,82,155,82,31,29,140,72,34,45,40,NA,80.3333333333333,39.6666666666667,118.5
"39","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6.5,22,17.3,11,15,17,49,19,18,20,NA,27,19,19.65
"40","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,9,17.5,14,9,42,13,39,24,29,33,NA,31.3333333333333,28.6666666666667,15.75
"41","SAB","KP17Sa6",2017,"Salix arctica","Kluane",2022-07-03,7,3,2022,5.9,18.5,18.5,6,12,13,11,47,37,25,NA,12,36.3333333333333,18.5
"42","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,2.5,8,7,6,9,10,11,24,17,19,NA,10,20,7.5
"43","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,4.5,22.5,14.6,10,30,32,29,28,21,43,NA,30.3333333333333,30.6666666666667,18.55
"44","SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6,14,13.6,11,33,22,35,34,29,16,NA,30,26.3333333333333,13.8
"45","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7.4,9,5,12,6,NA,NA,19,15,17,NA,NA,17,7
"46","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,8.3,8,8.5,10,10,28,15,20,16,18,NA,17.6666666666667,18,8.25
