"","cell","ID","pft_agb_deciduousshrub_p50_2020_wgs84","x","y"
"1",8,1,77.7154528138506,-145.625,70.5
"2",9,1,102.304497125381,-144.375,70.5
"3",10,1,89.8224833927926,-143.125,70.5
"4",11,1,86.8846002431881,-141.875,70.5
"5",12,1,139.459642445469,-140.625,70.5
"6",13,1,56.8864561547934,-139.375,70.5
"7",29,1,78.337306874053,-146.875,69.5
"8",30,1,61.4884287813437,-145.625,69.5
"9",31,1,74.9380917530443,-144.375,69.5
"10",32,1,69.1123896536111,-143.125,69.5
"11",33,1,85.9069396045593,-141.875,69.5
"12",34,1,127.675543884629,-140.625,69.5
"13",35,1,99.8447213781296,-139.375,69.5
"14",36,1,187.249882676651,-138.125,69.5
"15",37,1,256.135591769979,-136.875,69.5
"16",38,1,443.976533791754,-135.625,69.5
"17",50,1,121.427407121707,-148.125,68.5
"18",51,1,139.063976951378,-146.875,68.5
"19",52,1,137.224296411455,-145.625,68.5
"20",53,1,171.337494784164,-144.375,68.5
"21",54,1,174.207703144587,-143.125,68.5
"22",55,1,237.147368267213,-141.875,68.5
"23",56,1,228.884083138469,-140.625,68.5
"24",57,1,210.960305267767,-139.375,68.5
"25",58,1,252.404678678967,-138.125,68.5
"26",59,1,243.164709014637,-136.875,68.5
"27",60,1,374.055111341187,-135.625,68.5
"28",61,1,270.918910159604,-134.375,68.5
"29",71,1,229.609541035669,-149.375,67.5
"30",72,1,234.195730616739,-148.125,67.5
"31",73,1,264.988709704893,-146.875,67.5
"32",74,1,229.778331119621,-145.625,67.5
"33",75,1,248.82671446891,-144.375,67.5
"34",76,1,261.636243135639,-143.125,67.5
"35",77,1,323.494850730736,-141.875,67.5
"36",78,1,278.853445088772,-140.625,67.5
"37",79,1,252.225254125515,-139.375,67.5
"38",80,1,335.396063563038,-138.125,67.5
"39",81,1,237.121862315132,-136.875,67.5
"40",82,1,286.905979761058,-135.625,67.5
"41",83,1,264.760034878918,-134.375,67.5
"42",84,1,338.35461441154,-133.125,67.5
"43",93,1,286.78520569766,-149.375,66.5
"44",94,1,314.686045621435,-148.125,66.5
"45",95,1,306.622868473461,-146.875,66.5
"46",96,1,263.756085987995,-145.625,66.5
"47",97,1,235.56589058832,-144.375,66.5
"48",98,1,239.137291572161,-143.125,66.5
"49",99,1,232.312592412857,-141.875,66.5
"50",100,1,249.498053902442,-140.625,66.5
"51",101,1,192.376500506256,-139.375,66.5
"52",102,1,291.099882271356,-138.125,66.5
"53",103,1,227.188129198947,-136.875,66.5
"54",104,1,242.174553191047,-135.625,66.5
"55",105,1,259.473227643615,-134.375,66.5
"56",106,1,283.66661655104,-133.125,66.5
"57",107,1,285.081528576245,-131.875,66.5
"58",115,1,223.909092532897,-149.375,65.5
"59",116,1,271.175543843601,-148.125,65.5
"60",117,1,278.204778317376,-146.875,65.5
"61",118,1,312.373993621976,-145.625,65.5
"62",119,1,297.601024479845,-144.375,65.5
"63",120,1,287.243015409008,-143.125,65.5
"64",121,1,226.85244881284,-141.875,65.5
"65",122,1,259.881108203056,-140.625,65.5
"66",123,1,160.630428254688,-139.375,65.5
"67",124,1,181.555784029149,-138.125,65.5
"68",125,1,162.852314279089,-136.875,65.5
"69",126,1,169.80400887471,-135.625,65.5
"70",127,1,223.185294327271,-134.375,65.5
"71",128,1,224.919742754892,-133.125,65.5
"72",137,1,189.218505859375,-149.375,64.5
"73",138,1,221.820633192963,-148.125,64.5
"74",139,1,292.392453318012,-146.875,64.5
"75",140,1,306.23381848896,-145.625,64.5
"76",141,1,303.01315740782,-144.375,64.5
"77",142,1,344.277831735622,-143.125,64.5
