"","Species","SampleID","Latitude","Longitude","Elevation","SampleDate","Site","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"1","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-08-01,"Kluane",203,309,257,40,50,150,64,66,50,200,NA,80,60,283
"2","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-08-01,"Kluane",160,195,152,180,140,160,54,76,70,45,NA,160,66.6666666666667,173.5
"3","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-08-01,"Kluane",164,129,201,120,195,200,52,45,51,40,NA,171.666666666667,49.3333333333333,165
"4","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-08-01,"Kluane",162,213,150,200,165,145,61,70,48,45,NA,170,59.6666666666667,181.5
"5","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-08-01,"Kluane",190,273,279,165,150,160,67,55,68,37,NA,158.333333333333,63.3333333333333,276
"6","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-08-01,"Kluane",182,180,195,100,140,130,74,79,68,56,NA,123.333333333333,73.6666666666667,187.5
"7","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-08-01,"Kluane",82,115,123,160,130,60,52,65,65,20,NA,116.666666666667,60.6666666666667,119
"8","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-08-01,"Kluane",120,154,177,250,240,145,51,44,53,44,NA,211.666666666667,49.3333333333333,165.5
"9","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-08-01,"Kluane",159,195,167,100,155,145,70,67,60,50,NA,133.333333333333,65.6666666666667,181
"10","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-08-01,"Kluane",70.5,98,99,110,70,60,54,55,49,23,NA,80,52.6666666666667,98.5
"11","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-08-01,"Kluane",126,159,116,100,105,200,47,45,40,43,NA,135,44,137.5
"12","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-08-01,"Kluane",130,180,102,190,100,60,46,63,49,40,NA,116.666666666667,52.6666666666667,141
"13","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-08-01,"Kluane",147,180,153,170,90,135,50,55,52,77,NA,131.666666666667,52.3333333333333,166.5
"14","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-08-01,"Kluane",140.5,136,160,170,120,110,49,50,55,54,NA,133.333333333333,51.3333333333333,148
"15","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-08-01,"Kluane",159.5,178,192,270,160,190,55,56,55,43,NA,206.666666666667,55.3333333333333,185
"16","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-08-01,"Kluane",151,226,248,230,160,235,61,45,52,143,NA,208.333333333333,52.6666666666667,237
"17","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-08-01,"Kluane",158,176,175,71,150,165,57,62,46,53,NA,128.666666666667,55,175.5
"18","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-08-01,"Kluane",172,222,255,60,75,150,57,53,55,38,NA,95,55,238.5
"19","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-08-01,"Kluane",84,71,74,35,50,25,43,39,33,26,NA,36.6666666666667,38.3333333333333,72.5
"20","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-08-01,"Kluane",120,155,225,125,250,230,46,52,55,35,NA,201.666666666667,51,190
"21","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-09,"Kluane",150,303,240,180,60,140,59,42,58,250,"pulchra yellow tape",126.666666666667,53,271.5
"22","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-09,"Kluane",141,102,107,120,150,220,61,71,67,42,"15 shrubs above phenocams and 15 shrubs at phenocams (KP9,KP5,KP3). KP3: 1544.61121, KP5: 1548.37317, KP9: 1548.13977.",163.333333333333,66.3333333333333,104.5
"23","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-09,"Kluane",130,180,120,200,120,150,47,42,52,50,NA,156.666666666667,47,150
"24","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-09,"Kluane",155,165,120,55,105,85,53,80,62,45,NA,81.6666666666667,65,142.5
"25","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-09,"Kluane",185,260,255,32,67,90,72,60,65,41,NA,63,65.6666666666667,257.5
"26","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-09,"Kluane",164,210,165,140,85,130,67,58,66,50,NA,118.333333333333,63.6666666666667,187.5
"27","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-09,"Kluane",79,122,76,115,70,25,52,61,56,23,NA,70,56.3333333333333,99
"28","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-09,"Kluane",114,192,158,40,35,110,50,55,44,37,NA,61.6666666666667,49.6666666666667,175
"29","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-09,"Kluane",160,220,132,120,130,150,72,68,60,57,NA,133.333333333333,66.6666666666667,176
"30","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-09,"Kluane",69,101,107,50,20,25,41,47,48,12,NA,31.6666666666667,45.3333333333333,104
"31","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-09,"Kluane",108,143,102.5,65,50,110,52,46,47,43,"richardsonii green tape",75,48.3333333333333,122.75
"32","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-09,"Kluane",91,199,154,60,52,160,64,52,51,36,NA,90.6666666666667,55.6666666666667,176.5
"33","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-09,"Kluane",136,217,149,60,90,80,49,48,36,91,NA,76.6666666666667,44.3333333333333,183
"34","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-09,"Kluane",110,133,150,160,115,90,52,48,57,57,NA,121.666666666667,52.3333333333333,141.5
"35","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-09,"Kluane",53,170,172,13,24,114,40,51,32,55,NA,50.3333333333333,41,171
"36","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-09,"Kluane",125,250,220,140,50,110,60,55,57,61,NA,100,57.3333333333333,235
"37","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-09,"Kluane",143,176,136,180,170,90,66,56,42,40,NA,146.666666666667,54.6666666666667,156
"38","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-09,"Kluane",134,262,243,45,55,60,63,50,54,47,NA,53.3333333333333,55.6666666666667,252.5
"39","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-09,"Kluane",76,63,61,65,20,45,43,30,40,30,NA,43.3333333333333,37.6666666666667,62
"40","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-09,"Kluane",95,188,149,100,190,90,55,46,55,31,NA,126.666666666667,52,168.5
"41","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-08-13,"Kluane",200,207,274,70,130,160,53,37,53,203,NA,120,47.6666666666667,240.5
"42","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-08-13,"Kluane",160,116,114,200,160,180,66,57,73,45,NA,180,65.3333333333333,115
"43","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-08-13,"Kluane",165,169,135,100,110,155,36,64,57,37,NA,121.666666666667,52.3333333333333,152
"44","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-08-13,"Kluane",190,200,195,109,150,160,71,73,61,45,NA,139.666666666667,68.3333333333333,197.5
"45","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-08-13,"Kluane",180,112,292,75,108,106,67,52,57,45,NA,96.3333333333333,58.6666666666667,202
"46","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-08-13,"Kluane",180,210,160,190,200,200,58,53,68,48,NA,196.666666666667,59.6666666666667,185
"47","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-08-13,"Kluane",85,130,131,160,170,55,51,49,60,17,NA,128.333333333333,53.3333333333333,130.5
"48","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-08-13,"Kluane",120,197,170,130,150,100,40,50,51,36,NA,126.666666666667,47,183.5
"49","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-08-13,"Kluane",165,170,214,180,95,190,59,40,64,51,NA,155,54.3333333333333,192
"50","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-08-13,"Kluane",70,99,100,65,80,100,42,36,47,15,NA,81.6666666666667,41.6666666666667,99.5
"51","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-08-13,"Kluane",130,161,140,95,65,130,52,47,54,43,NA,96.6666666666667,51,150.5
