Date & time,TMS3 number,Soil temperature -6 cm,Surface temperature,Air temperature +12 cm,period in 640 μs,error by probe,temperature correction,Volumetric soil moisture without temp correction,Vol. moisture
2021.06.24 12:15,4,23625,243125,#VALUE!,477,202,-45860,-0.041,30.150
2021.06.24 12:30,4,24375,248125,25375,480,202,-47317,-0.041,32.283
2021.06.24 12:45,4,25375,#VALUE!,#VALUE!,484,202,-49259,-0.040,35.237
2021.06.24 13:00,4,25375,25875,25875,484,202,-49259,-0.040,35.237
2021.06.24 13:15,4,#VALUE!,259375,256875,484,202,#VALUE!,-0.040,#VALUE!
2021.06.24 13:30,4,#VALUE!,256875,251875,482,202,#VALUE!,-0.040,#VALUE!
2021.06.24 13:45,4,#VALUE!,#VALUE!,25,480,202,#VALUE!,-0.041,#VALUE!
2021.06.24 14:00,4,24375,253125,24875,479,202,-47322,-0.041,32.291
2021.06.24 14:15,4,243125,251875,#VALUE!,478,202,-476774,-0.041,3806.951
2021.06.24 14:30,4,#VALUE!,25125,#VALUE!,478,202,#VALUE!,-0.041,#VALUE!
2021.06.24 14:45,4,#VALUE!,25,24625,477,202,#VALUE!,-0.041,#VALUE!
2021.06.24 15:00,4,241875,25,245625,476,202,-474404,-0.041,3768.922
2021.06.24 15:15,4,24125,24875,#VALUE!,476,202,-46847,-0.041,31.587
2021.06.24 15:30,4,24125,248125,244375,475,202,-46852,-0.041,31.594
2021.06.24 15:45,4,240625,#VALUE!,24375,475,202,-471992,-0.041,3730.400
2021.06.24 16:00,4,24,#VALUE!,24375,474,202,474,-0.041,-0.033
2021.06.24 16:15,4,24,246875,#VALUE!,474,202,474,-0.041,-0.033
2021.06.24 16:30,4,239375,24625,#VALUE!,473,202,-469621,-0.041,3692.731
2021.06.24 16:45,4,23875,24625,#VALUE!,473,202,-46371,-0.041,30.890
2021.06.24 17:00,4,23875,#VALUE!,241875,472,202,-46376,-0.042,30.897
2021.06.24 17:15,4,23875,#VALUE!,24125,472,202,-46376,-0.042,30.897
2021.06.24 17:30,4,238125,#VALUE!,24125,471,202,-467249,-0.042,3655.239
2021.06.24 17:45,4,#VALUE!,244375,240625,471,202,#VALUE!,-0.042,#VALUE!
2021.06.24 18:00,4,#VALUE!,24375,24,471,202,#VALUE!,-0.042,#VALUE!
2021.06.24 18:15,4,#VALUE!,24375,24,470,202,#VALUE!,-0.042,#VALUE!
2021.06.24 18:30,4,#VALUE!,24375,24,470,202,#VALUE!,-0.042,#VALUE!
2021.06.24 18:45,4,236875,243125,239375,470,202,-464835,-0.042,3617.276
2021.06.24 19:00,4,236875,#VALUE!,239375,469,202,-464876,-0.042,3617.924
2021.06.24 19:15,4,23625,#VALUE!,23875,469,202,-45900,-0.042,30.208
2021.06.24 19:30,4,23625,#VALUE!,23875,469,202,-45900,-0.042,30.208
2021.06.24 19:45,4,23625,241875,23875,468,202,-45905,-0.042,30.215
2021.06.24 20:00,4,23625,24125,238125,468,202,-45905,-0.042,30.215
2021.06.24 20:15,4,23625,24125,#VALUE!,468,202,-45905,-0.042,30.215
2021.06.24 20:30,4,235625,24125,#VALUE!,467,202,-462503,-0.042,3580.787
2021.06.24 20:45,4,235625,240625,#VALUE!,467,202,-462503,-0.042,3580.787
2021.06.24 21:00,4,#VALUE!,24,#VALUE!,467,202,#VALUE!,-0.042,#VALUE!
2021.06.24 21:15,4,#VALUE!,24,236875,467,202,#VALUE!,-0.042,#VALUE!
2021.06.24 21:30,4,#VALUE!,24,23625,466,202,#VALUE!,-0.042,#VALUE!
2021.06.24 21:45,4,#VALUE!,24,23625,466,202,#VALUE!,-0.042,#VALUE!
2021.06.24 22:00,4,234375,239375,23625,466,202,-460087,-0.042,3543.194
2021.06.24 22:15,4,234375,23875,23625,465,202,-460128,-0.043,3543.828
2021.06.24 22:30,4,23375,23875,235625,465,202,-45429,-0.043,29.533
2021.06.24 22:45,4,23375,23875,#VALUE!,465,202,-45429,-0.043,29.533
2021.06.24 23:00,4,23375,23875,#VALUE!,465,202,-45429,-0.043,29.533
2021.06.24 23:15,4,23375,238125,#VALUE!,465,202,-45429,-0.043,29.533
2021.06.24 23:30,4,23375,#VALUE!,#VALUE!,464,202,-45434,-0.043,29.540
2021.06.24 23:45,4,23375,#VALUE!,234375,464,202,-45434,-0.043,29.540
2021.06.25 00:00,4,233125,#VALUE!,234375,464,202,-457712,-0.043,3506.419
2021.06.25 00:15,4,233125,#VALUE!,23375,464,202,-457712,-0.043,3506.419
2021.06.25 00:30,4,#VALUE!,#VALUE!,23375,463,202,#VALUE!,-0.043,#VALUE!
2021.06.25 00:45,4,#VALUE!,236875,23375,463,202,#VALUE!,-0.043,#VALUE!
2021.06.25 01:00,4,#VALUE!,23625,23375,463,202,#VALUE!,-0.043,#VALUE!
2021.06.25 01:15,4,#VALUE!,23625,233125,463,202,#VALUE!,-0.043,#VALUE!
2021.06.25 01:30,4,#VALUE!,23625,233125,463,202,#VALUE!,-0.043,#VALUE!
2021.06.25 01:45,4,231875,23625,#VALUE!,462,202,-455336,-0.043,3469.823
2021.06.25 02:00,4,231875,23625,#VALUE!,462,202,-455336,-0.043,3469.823
2021.06.25 02:15,4,23125,235625,#VALUE!,462,202,-44952,-0.043,28.858
2021.06.25 02:30,4,23125,#VALUE!,#VALUE!,462,202,-44952,-0.043,28.858
2021.06.25 02:45,4,23125,#VALUE!,#VALUE!,462,202,-44952,-0.043,28.858
2021.06.25 03:00,4,23125,#VALUE!,231875,461,202,-44957,-0.043,28.865
2021.06.25 03:15,4,23125,#VALUE!,231875,461,202,-44957,-0.043,28.865
2021.06.25 03:30,4,23125,#VALUE!,23125,461,202,-44957,-0.043,28.865
2021.06.25 03:45,4,230625,234375,23125,461,202,-452919,-0.043,3432.791
2021.06.25 04:00,4,230625,234375,23125,461,202,-452919,-0.043,3432.791
2021.06.25 04:15,4,23,23375,23125,460,202,462,-0.043,-0.035
2021.06.25 04:30,4,23,23375,23125,460,202,462,-0.043,-0.035
2021.06.25 04:45,4,23,23375,230625,460,202,462,-0.043,-0.035
2021.06.25 05:00,4,23,23375,230625,460,202,462,-0.043,-0.035
2021.06.25 05:15,4,23,23375,230625,460,202,462,-0.043,-0.035
2021.06.25 05:30,4,23125,23375,#VALUE!,460,202,-44962,-0.043,28.871
2021.06.25 05:45,4,23125,23375,#VALUE!,460,202,-44962,-0.043,28.871
2021.06.25 06:00,4,233125,#VALUE!,#VALUE!,460,202,-457874,-0.043,3508.928
2021.06.25 06:15,4,23625,23625,23625,474,202,-45875,-0.041,30.172
2021.06.25 06:30,4,23625,#VALUE!,23625,474,202,-45875,-0.041,30.172
2021.06.25 06:45,4,238125,23875,#VALUE!,478,202,-466958,-0.041,3650.650
2021.06.25 07:00,4,#VALUE!,23875,235625,478,202,#VALUE!,-0.041,#VALUE!
2021.06.25 07:15,4,23625,239375,#VALUE!,478,202,-45855,-0.041,30.143
2021.06.25 07:30,4,23625,24,#VALUE!,477,202,-45860,-0.041,30.150
2021.06.25 07:45,4,23625,24,234375,477,202,-45860,-0.041,30.150
2021.06.25 08:00,4,23625,24,234375,477,202,-45860,-0.041,30.150
2021.06.25 08:15,4,235625,24,234375,477,202,-462091,-0.041,3574.370
2021.06.25 08:30,4,235625,24,234375,477,202,-462091,-0.041,3574.370
2021.06.25 08:45,4,235625,24,#VALUE!,477,202,-462091,-0.041,3574.370
2021.06.25 09:00,4,#VALUE!,24,#VALUE!,477,202,#VALUE!,-0.041,#VALUE!
2021.06.25 09:15,4,#VALUE!,24,#VALUE!,477,202,#VALUE!,-0.041,#VALUE!
2021.06.25 09:30,4,#VALUE!,24,#VALUE!,477,202,#VALUE!,-0.041,#VALUE!
2021.06.25 09:45,4,#VALUE!,24,#VALUE!,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 10:00,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 10:15,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 10:30,4,#VALUE!,24,23625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 10:45,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 11:00,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 11:15,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 11:30,4,#VALUE!,24,235625,476,202,#VALUE!,-0.041,#VALUE!
2021.06.25 11:45,4,#VALUE!,24,#VALUE!,480,202,#VALUE!,-0.041,#VALUE!
2021.06.25 12:00,4,23625,24,238125,479,202,-45850,-0.041,30.136
2021.06.25 12:15,4,23625,24,238125,479,202,-45850,-0.041,30.136
2021.06.25 12:30,4,#VALUE!,24,23875,480,202,#VALUE!,-0.041,#VALUE!
2021.06.25 12:45,4,#VALUE!,240625,23875,480,202,#VALUE!,-0.041,#VALUE!
2021.06.25 13:00,4,23875,24125,23875,480,202,-46336,-0.041,30.838
2021.06.25 13:15,4,23875,24125,239375,480,202,-46336,-0.041,30.838
2021.06.25 13:30,4,24,241875,24,480,202,480,-0.041,-0.033
2021.06.25 13:45,4,24,#VALUE!,24,480,202,480,-0.041,-0.033
2021.06.25 14:00,4,240625,#VALUE!,24125,481,202,-471739,-0.040,3726.382
2021.06.25 14:15,4,24125,24375,24125,481,202,-46821,-0.040,31.549
2021.06.25 14:30,4,241875,24375,241875,481,202,-474193,-0.040,3765.539
2021.06.25 14:45,4,#VALUE!,244375,#VALUE!,481,202,#VALUE!,-0.040,#VALUE!
2021.06.25 15:00,4,#VALUE!,#VALUE!,243125,483,202,#VALUE!,-0.040,#VALUE!
2021.06.25 15:15,4,24375,#VALUE!,#VALUE!,484,202,-47297,-0.040,32.252
2021.06.25 15:30,4,24375,245625,#VALUE!,484,202,-47297,-0.040,32.252
2021.06.25 15:45,4,24375,24625,24875,484,202,-47297,-0.040,32.252
2021.06.25 16:00,4,#VALUE!,246875,249375,484,202,#VALUE!,-0.040,#VALUE!
2021.06.25 16:15,4,#VALUE!,#VALUE!,24625,485,202,#VALUE!,-0.040,#VALUE!
2021.06.25 16:30,4,24625,248125,#VALUE!,485,202,-47782,-0.040,32.978
2021.06.25 16:45,4,24625,24875,#VALUE!,485,202,-47782,-0.040,32.978
2021.06.25 17:00,4,#VALUE!,24875,245625,480,202,#VALUE!,-0.041,#VALUE!
2021.06.25 17:15,4,#VALUE!,249375,#VALUE!,480,202,#VALUE!,-0.041,#VALUE!
2021.06.25 17:30,4,246875,25,24375,480,202,-484049,-0.041,3924.918
2021.06.25 17:45,4,24625,249375,#VALUE!,480,202,-47808,-0.041,33.018
2021.06.25 18:00,4,24625,249375,#VALUE!,480,202,-47808,-0.041,33.018
2021.06.25 18:15,4,245625,24875,24125,480,202,-481596,-0.041,3884.935
2021.06.25 18:30,4,#VALUE!,24875,240625,479,202,#VALUE!,-0.041,#VALUE!
2021.06.25 18:45,4,#VALUE!,24875,24,479,202,#VALUE!,-0.041,#VALUE!
2021.06.25 19:00,4,244375,248125,24,479,202,-479185,-0.041,3845.848
2021.06.25 19:15,4,24375,#VALUE!,239375,479,202,-47322,-0.041,32.291
2021.06.25 19:30,4,24375,#VALUE!,23875,478,202,-47327,-0.041,32.298
2021.06.25 19:45,4,243125,24625,23875,478,202,-476774,-0.041,3806.951
2021.06.25 20:00,4,#VALUE!,24625,#VALUE!,477,202,#VALUE!,-0.041,#VALUE!
2021.06.25 20:15,4,241875,245625,#VALUE!,477,202,-474362,-0.041,3768.246
2021.06.25 20:30,4,24125,#VALUE!,236875,477,202,-46842,-0.041,31.579
2021.06.25 20:45,4,240625,#VALUE!,23625,477,202,-471908,-0.041,3729.061
2021.06.25 21:00,4,24,24375,23625,476,202,476,-0.041,-0.033
2021.06.25 21:15,4,24,24375,#VALUE!,476,202,476,-0.041,-0.033
2021.06.25 21:30,4,23875,243125,#VALUE!,475,202,-46361,-0.041,30.875
