"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-10.2446451818178,-17.1019578904069,-5.05228492593342,1.00097474524146,2080.6766439852,2128.64524321181,25,"fixed",136.275354818182,129.418042109593,141.467715074067
"Northern Source","Salix richardsonii",40.4893400258938,27.8060412137761,54.6964337379015,1.00142871890226,2780.6288135879,2366.31563836141,25,"fixed",176.764694844076,157.224083323369,196.164148811968
"Southern Garden","Salix richardsonii",-0.167233273197506,-5.07512039130682,4.77657768821034,1.00099248541415,2912.64003749711,3172.64456023258,25,"fixed",136.108121544985,124.342921718286,146.244292762277
"Southern Source","Salix richardsonii",37.1658054865258,31.4262644764678,42.8644864412018,1.00053306029003,3155.99370764136,3640.43275876066,25,"fixed",173.441160304708,160.844306586061,184.332201515268
"Year","Salix richardsonii",2.38624347916503,0.0592652408704649,8.42557149311169,1.00187417534297,1568.31107002296,1761.27019041153,25,"random",148.906243479165,146.57926524087,154.945571493112
"Sigma","Salix richardsonii",4.69608854336351,3.49536102598872,6.51721088935331,1.00037989405382,3403.21786460671,3011.95414091322,25,"residual",151.216088543364,150.015361025989,153.037210889353
" Intercept","Salix pulchra",-15.9041980587028,-25.4908586388996,-7.80631789677851,1.00124076558472,1889.59703203786,2099.39056754157,23,"fixed",134.704497593471,125.117837013274,142.802377755395
" Northern Source","Salix pulchra",34.998433397945,21.5327485777835,50.470080826907,1.00081404392082,2142.56925561339,2106.22933764925,23,"fixed",169.702930991416,146.650585591058,193.272458582302
" Southern Garden","Salix pulchra",5.55606695119228,1.01788810451333,10.1022196606248,1.00167563144247,4024.43173347747,3651.94117796753,23,"fixed",140.260564544663,126.135725117788,152.90459741602
" Southern Source","Salix pulchra",37.4890379223182,31.4552440690035,43.4301637342093,1.0011422151746,4319.26628519157,3696.46009407443,23,"fixed",172.193535515789,156.573081082278,186.232541489605
" Year","Salix pulchra",5.52290159123585,0.443953029630929,15.9958287568063,1.0024040955736,1200.66846620085,1498.50565367205,23,"random",156.13159724341,151.052648681805,166.60452440898
" Sigma","Salix pulchra",4.40684869092593,3.10560568627238,6.32563943541204,1.0015524590979,2822.43186131738,3334.64966899427,23,"residual",155.0155443431,153.714301338446,156.934335087586
"Intercept ","Salix arctica",-30.9541488205238,-43.1374240992787,-17.8070423057077,1.0014154259278,1753.50693080655,2091.02742943841,147,"fixed",123.365579070633,111.182303791878,136.512685585449
"Northern Source ","Salix arctica",32.933586015807,25.3020152642629,40.2772353309181,1.00214523363758,3262.90176345296,2919.65239870916,147,"fixed",156.29916508644,136.484319056141,176.789920916367
"Southern Garden ","Salix arctica",8.1610179044388,-0.693200832435134,16.9470066587931,1.0012749268817,3056.44413152193,3264.59325140193,147,"fixed",131.526596975071,110.489102959443,153.459692244242
"Year ","Salix arctica",14.4278740261447,8.3125327931978,25.8555413790532,1.00155950967866,1397.55470806873,2196.95292306104,147,"random",168.747601917301,162.632260684354,180.17526927021
"Sigma ","Salix arctica",6.97478703444095,6.22090801900017,7.8563217459484,1.00073691432181,3593.05131037282,3480.43249938954,147,"residual",161.294514925597,160.540635910157,162.176049637105
