"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-16.5874959322682,-28.3212411601351,-2.76665508274512,1.00099593042562,2536.34575752913,2240.50397542282,49,"fixed",194.045157128956,182.311411901089,207.865997978479
"Northern Source","Salix richardsonii",9.78407072024591,-4.5682193970136,24.2968393320009,1.00141893738436,3583.50532488033,4064.3854834215,49,"fixed",203.829227849202,177.743192504076,232.16283731048
"Southern Garden","Salix richardsonii",28.9027225008045,19.474606180988,38.4533582016975,0.999953925940128,3667.24151812887,3561.70459659704,49,"fixed",222.947879629761,201.786018082077,246.319356180177
"Southern Source","Salix richardsonii",15.8605667440771,3.19855811403311,28.2850788739489,1.00072769510194,4059.64477498197,3909.52367869249,49,"fixed",209.905723873033,185.509970015122,236.151076852428
"Year","Salix richardsonii",6.73324245547101,0.198905531864261,24.9870721793529,1.0008580802391,1471.81806207004,1843.11155612479,49,"random",217.365895516696,210.831558593089,235.619725240577
"Sigma","Salix richardsonii",13.1452018466437,10.7048861758855,16.2883395233038,1.00030909806547,3904.69170041085,3547.21492739247,49,"residual",223.777854907868,221.33753923711,226.920992584528
" Intercept","Salix pulchra",-9.28811331386559,-23.2014677264704,8.68039287841425,1.00400826932767,2054.65836747239,1641.70500596443,29,"fixed",197.953265996479,184.039911583874,215.921772188759
" Northern Source","Salix pulchra",10.6857719617403,-7.75895683687717,28.9772272165429,1.0010344433351,3154.96786499675,3787.39422335397,29,"fixed",208.63903795822,176.280954746997,244.898999405302
" Southern Garden","Salix pulchra",23.2133078213164,6.35768148401883,39.1198400074045,1.00087901312039,3869.85574356624,2870.4242549607,29,"fixed",221.166573817796,190.397593067893,255.041612196164
" Southern Source","Salix pulchra",22.4114476067527,6.09316846831552,37.8615612543036,1.00043609324761,3998.82255666572,4274.08830100279,29,"fixed",220.364713603232,190.13308005219,253.783333443063
" Year","Salix pulchra",8.45869219932796,0.25807226856103,28.1184821956652,1.00068264556929,1618.36992645161,2308.27975997508,29,"random",215.700071509673,207.499451578906,235.35986150601
" Sigma","Salix pulchra",15.8103658999978,11.9111982087506,21.1987123819503,0.999926544031697,3591.0695247397,4390.74321333149,29,"residual",223.051745210343,219.152577519095,228.440091692295
"Intercept ","Salix arctica",-8.06867589398217,-17.2128851404402,1.28063682270998,1.00040458109829,3001.96136843505,3678.45204137592,141,"fixed",197.860402120202,188.716192873744,207.209714836894
"Northern Source ","Salix arctica",7.6845149405816,-1.10559355336892,16.4180347542925,1.00037871308512,3767.18375127058,3919.17082945024,141,"fixed",205.544917060784,187.610599320375,223.627749591187
"Southern Garden ","Salix arctica",18.5766490520976,10.1083707084306,27.2185158800719,1.00001910813322,4627.84664903824,4251.87581098729,141,"fixed",216.4370511723,198.824563582175,234.428230716966
"Year ","Salix arctica",6.49989094253735,3.14059916646282,12.2203751340999,1.00108952777888,1831.51030924514,2725.42479791554,141,"random",212.428968956722,209.069677180647,218.149453148284
"Sigma ","Salix arctica",11.0192328118355,9.78804540106819,12.4441483748295,0.999964689520988,5386.0426597362,4352.42497304885,141,"residual",216.94831082602,215.717123415253,218.373226389014
