"","Species","Estimate (log og)","l_95_CI_log_og","u_95_CI_log_og","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","CI_low_trans","CI_high_trans","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept ","Salix richardsonii",4.34567614972561,4.26650476970023,4.4307933264437,4.34567614972561,4.26650476970023,4.4307933264437,77.1441808656718,71.2720873996163,83.9980283415723,1.00172006770623,3140.53771746297,2112.83638867745,361,"fixed"
"Northern Source ","Salix richardsonii",-0.680899532346026,-0.786715503064548,-0.577512039862545,3.66477661737958,3.47978926663568,3.85328128658115,39.0474126754338,32.4528824501199,47.147514199734,1.00082772385026,6212.85945592706,4394.95683394266,361,"fixed"
"Sample year","Salix richardsonii",0.0512977069089801,0.00183553077462836,0.173709627809527,0.0512977069089801,0.00183553077462836,0.173709627809527,1.05263622371702,1.00183721639242,1.18971005694444,1.000249843441,1732.52757998745,2202.54837621303,361,"random"
"Sigma  ","Salix richardsonii",0.462117774954428,0.429565230480513,0.498076547546285,0.462117774954428,0.429565230480513,0.498076547546285,1.58743225197757,1.53658931610208,1.6455530816338,1.00028438804114,6969.36932232067,3385.38652090186,361,"residual"
"Intercept 1","Salix pulchra",4.27279091537446,4.16353991737753,4.40862227693386,4.27279091537446,4.16353991737753,4.40862227693386,71.721525259462,64.2987324109082,82.1561970095399,1.00226196110509,1881.8128062756,1310.6326240441,379,"fixed"
"Northern Source 1","Salix pulchra",-0.870755767386828,-0.972997252090317,-0.767572135630293,3.40203514798763,3.19054266528722,3.64105014130356,30.0251435204911,24.3016115064923,38.1318595476042,1.00010735896604,4618.89132297439,4030.10065414211,379,"fixed"
"Sample year1","Salix pulchra",0.108989246158125,0.00738170585230811,0.332611072745812,0.108989246158125,0.00738170585230811,0.332611072745812,1.11515035812635,1.00740901780453,1.39460479316621,1.00082042652671,985.863135864825,1180.76492546817,379,"random"
"Sigma  1","Salix pulchra",0.470425193580265,0.439029070112308,0.504491766635654,0.470425193580265,0.439029070112308,0.504491766635654,1.60067464512842,1.55120038030155,1.6561435990995,1.00018016538604,5678.63761748939,4344.16891651676,379,"residual"
"Intercept 2","Salix arctica",1.76636856829341,1.39221716349528,2.15548165334114,1.76636856829341,1.39221716349528,2.15548165334114,5.84957242186711,4.02376150739584,8.63204683205303,1.00192394458744,1705.45266854644,2106.41504380281,150,"fixed"
"Northern Source 2","Salix arctica",0.128207410613294,-0.0739751793122854,0.334254545743063,1.89457597890671,1.318241984183,2.48973619908421,6.64972818174442,3.73684616462729,12.0580947643993,1.0005466111434,4127.29768631982,3260.93202712814,150,"fixed"
"Sample year2","Salix arctica",0.404835229282649,0.160525205759512,0.9462811806709,0.404835229282649,0.160525205759512,0.9462811806709,1.49905547925976,1.1741273675397,2.57611172979955,1.001177581946,1481.82088785104,2135.33811191585,150,"random"
"Sigma  2","Salix arctica",0.4954886051792,0.443358373012422,0.558617080037668,0.4954886051792,0.443358373012422,0.558617080037668,1.6412999908472,1.55793055457626,1.74825313362875,1.0004459273707,4544.10399468115,3237.54638428618,150,"residual"
